run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23053037 EN023_r02c02_Dep00Ch00_F20/0/00/3    59.23     0.66     927.72     0.65    19.62  -0.0328   0   Good 
23053037 EN024_r02c03_Dep00Ch01_F20/0/01/2    40.39     0.67     914.69     0.71    19.81  -0.0330   0   Good 
23053037 EN025_r02c04_Dep00Ch02_F20/0/01/3    61.37     0.67    1038.58     0.75    21.47  -0.0275   0   Good 
23053037 EN026_r02c05_Dep00Ch03_F20/0/02/2    47.11     0.67    1131.70     0.81    22.60  -0.0242   0   Good 
23053037 EN045_r03c02_Dep00Ch04_F00/0/00/1    95.43     0.67     852.25     0.61    18.82  -0.0366   0   Good 
23053037 EN046_r03c03_Dep00Ch05_F00/0/01/0    54.71     0.65     957.04     0.69    19.43  -0.0319   0   Good 
23053037 EN047_r03c04_Dep00Ch06_F00/0/01/1    63.25     0.67     922.02     0.67    20.08  -0.0324   0   Good 
23053037 EN048_r03c05_Dep00Ch07_F00/0/02/0    68.38     0.64    1021.35     0.78    20.69  -0.0287   0   Good 
23053037 EN067_r04c02_Dep00Ch08_F00/0/00/3    90.05     0.67     844.33     0.63    18.04  -0.0378   0   Good 
23053037 EN068_r04c03_Dep00Ch09_F00/0/01/2    68.19     0.67    1002.94     0.75    21.24  -0.0287   0   Good 
23053037 EN069_r04c04_Dep00Ch10_F00/0/01/3    57.03     0.67    1153.05     0.83    22.27  -0.0240   0   Good 
23053037 EN070_r04c05_Dep00Ch11_F00/0/02/2    85.44     0.63    1016.15     0.76    21.36  -0.0282   0   Good 
23053037 EN089_r05c02_Dep00Ch12_F01/0/00/1    61.95     0.69    1042.92     0.72    21.12  -0.0277   0   Good 
23053037 EN090_r05c03_Dep00Ch13_F01/0/01/0    57.48     0.68     781.87     0.65    18.66  -0.0401   0   Good 
23053037 EN091_r05c04_Dep00Ch14_F01/0/01/1    62.81     0.67     909.07     0.57    18.19  -0.0350   0   Good 
23053037 EN092_r05c05_Dep00Ch15_F01/0/02/0    57.91     0.68     996.24     0.69    20.34  -0.0298   0   Good 
23053037 EN111_r06c02_Dep00Ch16_F01/0/00/3    85.42     0.70     996.13     0.82    22.84  -0.0273   0   Good 
