run number	sum (time * BBCC rate)
22354029       1.83622
22354030       1.83622
22354031       1.83622
22354032       1.83622
22354033       1.83622
22354034       1.83622
22354036       1.83622
22354037       1.83622
22354038       1.83622
22354039       1.83622
22354041       1.83622
22354042       1.83622
22354043       1.83622
22354044       1.83622
22354045       1.83622
22354046       1.83622
22354047       1.83622
22354048       1.83622
22354049       1.8716
22354054       2.07145
22354055       2.09733
22354057       2.14598
22354058       2.22505
22354059       2.3606
22354060       2.41835
22354061       2.49762
22354062       2.73211
22354063       2.79593
22354064       2.97505
22355001       3.01684
22355002       3.0325
22355003       3.11049
22355004       3.36677
22355005       3.54433
22355008       3.62846
22355010       3.83242
22355011       4.01381
22355012       4.03635
22355013       4.13446
22355014       4.20417
22355016       4.39781
22355017       4.57007
22355019       4.90679
22355021       5.21297
22355023       5.38352
22355025       5.61663
22355026       5.6588
22355027       5.82096
22355028       6.04446
22355029       6.07343
22355030       6.12327
22355031       6.152
22355032       6.17546
22355035       6.20909
22355037       6.26818
22355038       6.38557
22355039       6.40591
22355040       6.40591
22355041       6.40591
22355042       6.40591
22355043       6.40591
22355044       6.41109
22355045       6.56398
22355048       6.70245
22355050       6.90417
22355055       7.17469
22355056       7.22336
22355057       7.24776
22355059       7.43008
22355062       7.60174
22355063       7.77585
22355064       7.97294
22355065       8.05708
22355066       8.14357
22355067       8.31488
22355068       8.49259
22355071       8.72321
22355072       8.84684
22356005       9.06125
22356007       9.25669
22356008       9.46017
22356011       9.88946
22356012       9.99234
22356013       10.0088
22356014       10.1587
22356015       10.3407
22356016       10.5443
22356017       10.7471
22356018       10.7836
22356021       10.9944
22356022       11.066
22356024       11.332
22356025       11.3525
22356026       11.3798
22356027       11.4138
22356031       11.5423
22356032       11.6429
22356034       11.885
22356035       12.091
22356037       12.3647
22356038       12.4632
22356039       12.5167
22356040       12.5217
22356044       12.5254
22356045       12.5309
22356046       12.555
22356047       12.5765
22356048       12.5857
22356049       12.6751
22356050       12.8959
22356051       13.1242
22356054       13.4373
22356055       13.4928
22356057       13.7257
22356058       13.944
22356059       14.1581
22356060       14.4105
22356065       14.6986
22356067       15.0219
22356068       15.2325
22356069       15.4311
22356071       15.6861
22356072       15.6861
22356073       15.7658
22356075       16.0458
22356076       16.2937
22357001       16.5303
22357006       16.87
22357007       17.0995
22357009       17.3317
22357011       17.6313
22357013       17.8591
22357014       17.9901
22357015       18.2493
22357017       18.5261
22357019       18.6769
22357021       18.9543
22357022       19.127
22357023       19.2229
22357024       19.5061
22357026       19.7575
22357028       20.0201
22357029       20.1025
22357030       20.1025
22357031       20.1025
22357032       20.1025
22357033       20.1025
22357034       20.1107
22357036       20.1825
22357037       20.2243
22357038       20.2967
22357039       20.3342
22357040       20.3714
22357041       20.413
22357042       20.413
22358001       20.413
22358002       20.413
22358003       20.413
22358004       20.413
22358005       20.413
22358006       20.413
22358007       20.413
22358008       20.413
22358009       20.413
22358010       20.413
22358011       20.413
22358012       20.413
22358013       20.413
22358014       20.413
22358016       20.413
22358017       20.413
22358018       20.413
22358019       20.413
22358020       20.413
22358021       20.413
22359001       20.4696
22359002       20.5162
22359003       20.5703
22359004       20.7006
22359006       20.8186
22359009       20.9139
22359011       21.0509
22359012       21.123
22359013	21.1635
22359014	21.416
22359016	21.6927
22359018	21.851
22359019	21.9049
22359020	22.0163
22359022	22.0163
22359023	22.0163
22359024	22.0163
22359025	22.0163
22359026	22.0171
22359027	22.0234
22359028	22.0504
22359031	22.3073
22359032	22.32
22359033	22.3515
22359034	22.462
22359035	22.4999
22359037	22.6375
22359039	22.8179
22359040	23.1367
22359041	23.3078
22359043	23.6258
22359044	23.7758
22359045	23.8294
22359046	24.0875
22359047	24.1251
22360001	24.1252
22360002	24.1374
22360003	24.1481
22360004	24.1802
22360005	24.5086
22360006	24.837
22360007	24.8994
22360008	25.1988
22360009	25.4098
22360010	25.4749
22360012	25.8318
22360014	25.9827
22360015	26.1235
22360016	26.2036
22360018	26.2329
22360019	26.5628
22360021	26.602
22360022	26.8771
22360023	27.1626
22360025	27.1626
22360028	27.1626
22360029	27.1626
22360030	27.1626
22360032	27.1626
22360033	27.1626
22360034	27.1626
22360035	27.1626
22360036	27.1626
22360037	27.1874
22360038	27.199
22360040	27.2802
22360041	27.5519
22360042	27.707
22360044	28.101
22360049	28.1926
22360051	28.3077
22360054	28.3976
22360056	28.8102
22361001	28.9666
22361003	28.9666
22361004	28.9666
22361005	28.9666
22361006	28.9666
22361007	28.9666
22361008	28.9666
22361009	28.9666
22361010	28.9666
22361011	28.9666
22361012	28.9666
22361013	28.9666
22361014	28.9666
22361015	28.9666
22361016	28.9666
22361017	28.9666
22361018	28.9666
22361019	28.9666
22361020	28.9666
22361021	28.9666
22361022	28.9666
22361024	28.9666
22361025	28.9666
22361027	28.9666
22361028	28.9753
22361029	28.9996
22361030	29.0499
22361031	29.0958
22361032	29.1157
22361033	29.1633
22361034	29.181
22361035	29.2066
22361036	29.2536
22361037	29.2693
22361038	29.314
22361039	29.3315
22361040	29.3836
22361041	29.399
22361042	29.4451
22361043	29.4604
22361044	29.4833
22361050	29.8721
22361051	30.0118
22361052	30.2587
22361053	30.2674
22361054	30.2933
22361056	30.5713
22361057	30.639
22362006	31.098
22362007	31.1082
22362013	31.3139
22362015	31.7446
22362016	31.7542
22362018	31.8528
22362019	32.1132
22362022	32.3448
22362023	32.7836
22362025	32.9052
22362026	32.9191
22362027	33.2107
22362028	33.2311
22362029	33.265
22362032	33.3664
22362033	33.4472
22362035	33.7231
22362038	34.0697
22362039	34.0989
22362041	34.1312
22362043	34.247
22362044	34.3302
22362045	34.3302
22362046	34.3302
22362047	34.3302
22362048	34.3302
22362050	34.3302
22362051	34.3302
22362052	34.3302
22362053	34.3302
22362054	34.3302
22362055	34.3461
22362056	34.3778
22362057	34.4409
22362058	34.4722
22362060	34.6477
22362065	35.042
22362066	35.1971
22362068	35.5844
22362070	35.6814
22362071	35.741
22362078	36.3533
22362079	36.7167
22362081	36.81
22362083	36.9076
22362084	37.2024
22362085	37.2263
22362086	37.2741
22362087	37.3503
22362088	37.374
22362089	37.4828
22362090	37.5299
22362091	37.6143
22362093	37.7215
22362096	37.984
22363001	38.2555
22363002	38.3541
22363003	38.4924
22363004	38.9111
22363005	38.9336
22363009	39.0724
22363010	39.1545
22363014	39.3056
22363016	39.3907
22363019	39.6416
22363021	40.1802
22363023	40.3704
22363025	41.0654
22363026	41.2132
22363028	41.3285
22363030	41.4637
22363031	41.8174
22363033	41.8174
22363034	41.8174
22363035	41.8174
22363036	41.8174
22363042	41.8174
22363043	41.8174
22363044	41.8174
22363045	41.8174
22363046	41.8174
22363047	41.8174
22363048	41.8174
22363049	41.8174
22363050	41.8399
22363051	41.9029
22363052	41.9597
22363053	42.1606
22363054	42.2103
22363055	42.2593
22363056	42.3239
22363057	42.3659
22363058	42.4057
22363059	42.4577
22363060	42.4933
22363061	42.5287
22363062	42.5729
22363063	42.6052
22363064	42.6389
22363065	42.6775
22363066	42.7085
22364001	42.7393
22364002	42.8066
22364003	42.8303
22364008	43.0861
22364009	43.1939
22364010	43.239
22364012	43.3839
22364014	43.5486
22364016	44.0391
22364017	44.0861
22364019	44.3339
22364023	44.8671
22364025	45.281
22364027	45.5041
22364028	45.5706
22364030	46.0734
22364031	46.1811
22364033	46.2615
22364035	46.3256
22364036	46.3896
22364037	46.4268
22364038	46.4586
22364039	46.4904
22364040	46.5275
22364041	46.5698
22364043	46.6594
22364046	46.8893
22364049	47.417
22364050	47.634
22364051	47.8394
22364052	47.8779
22364056	48.0224
22364058	48.3195
22364060	48.5008
22364061	48.5439
22364063	48.6224
22364065	48.7782
22364070	49.5597
22364071	49.7123
22364072	50.0064
22364074	50.2247
22364076	50.4477
22364079	50.7653
22364081	51.36
22364082	51.8107
22364083	51.934
22364084	52.0429
22364085	52.0768
22364086	52.7116
22364088	53.0121
22364089	53.4661
22364090	53.5608
22364092	53.699
22364095	54.3141
22364096	54.3141
22364097	54.3141
22364098	54.3141
22364099	54.3141
22364100	54.3141
22364101	54.3351
22364102	54.3676
22364104	54.49
22364111	55.3382
22364113	55.8792
22364114	55.9249
22365004	56.8865
22365005	56.9678
22365006	57.0177
22365007	57.055
22365008	57.111
22365009	57.1605
22365010	57.2347
22365012	57.2964
22365019	57.7772
22365021	58.0824
22365022	58.3189
22365025	58.5356
22365030	58.8994
22365032	59.6601
22365034	59.7045
22365037	59.8761
22365038	59.9146
22365039	60.4706
22365040	60.4973
22365041	60.5703
22365042	61.1788
22365045	61.3705
22365046	61.4865
22365047	61.529
22365049	62.1102
22365051	62.7743
22365052	63.3831
22365054	63.7594
22365057	64.3922
22365058	64.8489
22365059	64.8904
22365060	64.8904
22365061	64.8904
22365062	64.8904
22365064	64.8904
22365065	64.8904
22365066	64.969
